연번,가격,상품명,상세정보
60,"318,000원",뷰라이프 일체형PC 24인치 N5095 올인원PC 윈도우11포함 키보드마우스 NVMe 8G 120G U4-595,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-N5095, CPU종류 : 셀러론램용량 : 8GB, SSD용량 : 120GB속도(기본클럭) : 2.0GHz   "
61,"최저212,000원",애즈락 DeskMini X300,"종류 : 베어본PCCPU제조사 : AMD, 램규격 : DDR4단자 : DisplayPort D-Sub HDMI USB2.0 USB3.0 USB(C-Type)품목 : 미니PC무상AS : 1년"
62,"899,000원",조립PC 게이밍 컴퓨터 본체 게임용 피씨 조립식 데스크탑 고사양 견적 롤 배그 EX,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어 5CPU : 코어i5-12400F        
사운드바장패드 무료+출장방문A/S 1년 무료+즉시할인쿠폰"
63,"최저709,000원",LG전자 24V70Q-GR3TK,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i3-1215U, CPU종류 : 코어i3 12세대코어종류 : 2+4코어램용량 : 8GB, SSD용량 : 256GB    "
64,"949,000원",[NEW 2024년 신제품] 삼성 데스크탑 5 인텔 14세대 i5 Win11 프리미어 프로 사무용 가정용 삼성본체,"품목 : 데스크탑형태 : 큐브형특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i5-14400       
2024년 NEW 14세대 삼성데스크탑 i5+런칭 기념 메모리 무상UP"
65,"415,000원",고사양 미니PC 산업용 초미니 PC 초소형 컴퓨터 본체,"CPU제조사 : 인텔, CPU종류 : 셀러론품목 : 미니PC(베어본)"
66,"289,000원","ASRock DeskMini X600 120W 디앤디컴 (베어본) CPU,메모리,저장장치 미포함","종류 : 베어본PCCPU제조사 : AMD, 램규격 : DDR5랜 : 유선랜 1Gbps, 운영체제 : OS미포함외부어댑터 : 가능케이스분류 : 초슬림색상 : 블랙품목 : 미니PC타입 : Mini-ITX"
67,"최저879,000원",DELL OPTIPLEX 7010SFF-WP01KR,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13500, CPU종류 : 코어i5 13세대코어종류 : 14코어램용량 : 8GB, SSD용량 : 256GB  "
68,"최저1,830,800원",Apple 아이맥 24형 2023년형 M3 8코어 CPU 및 8코어 GPU 256GB 실버 (MQR93KH/A),"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 애플CPU : M3, CPU종류 : 애플 실리콘 M 시리즈코어종류 : 8코어램용량 : 8GB, SSD용량 : 256GB  "
69,"595,000원",ASRock DeskMini X600 AMD 8600G 120W 라이젠5 디앤디컴 미니PC 사무용 기업용 산업용,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-8600G, 램규격 : DDR5랜 : 유선랜 1Gbps(듀얼랜), 운영체제 : 윈도우11 프로 윈도우11 홈"
70,"최저638,000원",삼성전자 삼성 DM530ADA-L25A,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄 골드-G7505, CPU종류 : 펜티엄 골드코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB    "
71,"최저819,000원",삼성전자 삼성 DM500SGZ-AD5A,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400, CPU종류 : 코어i5 14세대코어종류 : 10코어, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB     "
72,"최저899,000원",삼성전자 삼성 DM530AFA-L38A,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔코어종류 : 6코어, SSD용량 : 256GB속도(기본클럭) : 1.2GHz터보부스트 : 4.5GHz화면크기 : 24인치(59~61cm)"
73,"최저1,296,490원",LG전자 27V70Q-GA70K,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-1260P, CPU종류 : 코어i7 12세대코어종류 : 4+8코어램용량 : 8GB        "
74,"최저1,919,000원",삼성전자 올인원 프로 DM970AGA-L71AR,"CPU제조사 : 인텔, CPU종류 : 코어 울트라7코어종류 : 12코어램용량 : 32GB, SSD용량 : 1TB화면크기 : 27인치(68~69cm)패널 : 광시야각, 운영체제 : 윈도우11 홈"
75,"최저774,180원",Apple 맥 미니 2023년 M2 (8CPU 10GPU)/8G RAM/256G SSD MMFJ3KH/A,"품목 : 미니PC형태 : 큐브형특징 : 사무용CPU제조사 : 애플CPU : M2, CPU종류 : 애플 실리콘 M 시리즈코어종류 : 4+4코어램용량 : 8GB, SSD용량 : 256GB        "
76,"188,000원",삼성전자 컴퓨터 정품 윈도우11PRO 기업용 가정용 데스크탑 PC 본체 사무용 01,"CPU제조사 : 인텔
초고속 SSD 240GB 무료 업그레이드"
