연번,가격,상품명,상세정보
87,"최저929,000원",HP 27-cr0001kr,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i5-1335U, CPU종류 : 코어i5 13세대코어종류 : 2+8코어램용량 : 8GB, SSD용량 : 512GB       "
88,"최저599,000원",삼성전자 삼성 DM530ADA-L15A,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-6305, CPU종류 : 셀러론코어종류 : 2코어램용량 : 4GB, SSD용량 : 128GB    "
89,"359,000원",디클 A27N Win11,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-N5095, CPU종류 : 셀러론코어종류 : 4코어램용량 : 4GB, SSD용량 : 128GB   "
90,"최저1,156,840원",삼성전자 삼성 DM530ADA-L78A,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-1165G7, CPU종류 : 코어i7 11세대코어종류 : 4코어램용량 : 8GB, SSD용량 : 512GB    "
91,"최저357,990원",코리아정보통신 뷰라이프 27 N5095,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 셀러론-N5095, CPU종류 : 셀러론코어종류 : 4코어램용량 : 4GB, SSD용량 : 120GB속도(기본클럭) : 2.0GHz  "
92,"최저899,000원",LG전자 24V70Q-GR50K,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i5-1240P, CPU종류 : 코어i5 12세대코어종류 : 4+8코어램용량 : 8GB, SSD용량 : 256GB    "
93,"500,000원",컴퓨터풀세트 게이밍 조립 컴퓨터 세트 배틀그라운드 롤 오버워치 발로란트 오닉스 PC 오닉스1번 1번-블랙(DK200),"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB속도(기본클럭) : 2.5GHz부스트클럭 : 4.4GHz"
94,"최저930,990원",삼성전자 삼성 DM500TDA-A58A,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-11400, CPU종류 : 코어i5 11세대코어종류 : 6코어, 메인보드 : (인텔) H470, 칩셋램용량 : 8GB, SSD용량 : 256GB      "
95,"439,000원",배그 롤 디아블로4 게임용 세트 조립PC 견적 발로란트 TL 사양 컴퓨터 풀세트,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대램용량 : 16GB, 램규격 : DDR4, SSD용량 : 500GB파워 : 500W랜 : 유선랜정격 : 정격특징 : 게이밍(게임용)"
96,"최저1,700,500원",Apple 맥 미니 2023년 M2 Pro (10CPU 16GPU)/16G RAM/512G SSD MNH73KH/A,"품목 : 미니PC형태 : 큐브형특징 : 사무용CPU제조사 : 애플CPU : M2 Pro, CPU종류 : 애플 실리콘 M 시리즈코어종류 : 6+4코어램용량 : 16GB, SSD용량 : 512GB        "
97,"598,000원",포유컴 인텔 12세대 i7 12700 M2 NVMe 256G 멀티작업용 컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 12세대, CPU : 코어i7-12700, , 그래픽 : 인텔UHD770, 메인보드 : (인텔)B660M, 칩셋램용량 : 8GB속도(기본클럭) : 2.1GHz "
98,"869,000원",게이밍 컴퓨터 i5-12400F RTX3060Ti 조립PC 디아블로4,페이지 참조
99,"1,688,000원",포유컴 인텔 i5 13400F RTX4070 DDR5 게이밍컴퓨터 화이트감성 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F, , 그래픽 : 지포스 RTX4070, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB"
100,"687,000원",포유컴 인텔 12세대 i5 12400F GTX1660Ti 게이밍컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스GTX1660Ti, 메인보드 : (인텔)B660M, 칩셋램용량 : 16GB "
101,"950,000원",게이밍 컴퓨터 i5-13400F RTX3060Ti 조립PC 디아 배그,페이지 참조
102,"1,098,000원",포유컴 인텔 12세대 i5 12400F RTX4060Ti 게이밍컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB"
103,"583,000원",산업용PC JECS-5095B 인텔 N5095,페이지 참조
104,"1,895,000원",포유컴 인텔 14세대 i7 14700F RTX4060Ti 게이밍컴퓨터 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i7 14세대, CPU : 코어i7-14700F, , 그래픽 : 지포스 RTX4060 Ti, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB"
105,"237,000원",조립pc 롤 게이밍 컴퓨터 조립컴 발로란트 오버워치2 배그 주식용 본체 풀세트 사무용01,"종류 : 조립형PC, 램용량 : 8GB, SSD용량 : 240GB파워 : 500W단자 : D-Sub DVI HDMI USB2.0(4개) USB3.0(2개) 3.5mm헤드폰 잭정격 : 정격, 운영체제 : 윈도우7 윈도우10 홈(DSP)       "
106,"536,000원",조립PC 게이밍 컴퓨터 조립식 고사양 컴퓨터 롤 디아블로4 배그 발로란트 풀세트 본체01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4, SSD용량 : 500GB   "
107,"2,467,000원",7800X3D 4070 4070ti 4080 SUPER 4090 고사양 PC 게임용 컴퓨터 본체,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-7800X3D, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (AMD) B650, 칩셋램용량 : 32GB  "
108,"129,000원",삼성 컴퓨터 사무용 데스크탑 조립 게이밍 PC i5 9400 사무용 01 실속형 본체만,"품목 : 데스크탑CPU제조사 : 인텔램용량 : 8GB, SSD용량 : 240GB, 운영체제 : 윈도우10 홈 어드밴스드"
109,"169,000원",에스PC i5 조립컴퓨터 게이밍 화이트 윈도우11 미니타워 사무용 게임용 본체 NO1,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i5, , 그래픽 : 인텔HD2000램용량 : 8GB속도(기본클럭) : 3.3GHz, SSD용량 : 128GBSSD 인터페이스 : NVMe파워 : 500W         "
110,"239,000원",LG컴퓨터 초고속 SSD 대용량 장착 사무용 주식용 가정용 데스크탑 본체 윈도우10 설치,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔코어종류 : 2코어램용량 : 8GB, SSD용량 : 240GB, 운영체제 : 윈도우10 홈, 운영체제 bit : 64bit"
111,"799,000원",삼성 데스크탑 슬림 PC 사무용 학생용 컴퓨터 본체 정품 WIn11 포함,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 펜티엄-300
키보드 마우스 증정 재고보유 당일출고"
112,"675,000원",4K 영상편집 컴퓨터 고사양 유튜브 동영상 프리미어 프로 방송용 영상편집용 PC 인텔 i3,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, , 그래픽 : 지포스GTX1650, 메인보드 : (인텔)H610M, 칩셋램용량 : 16GB "
113,"최저1,197,870원",LG전자 24V70Q-GA70K,"형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-1260P, CPU종류 : 코어i7 12세대코어종류 : 12코어램용량 : 8GB, SSD용량 : 256GB  "
114,"최저779,000원",삼성전자 삼성 DM500TGZ-AD5A,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB, SSD용량 : 256GB  "
115,"849,000원",[NEW 2024년 신제품] 삼성 데스크탑 PC 인텔 14세대 CPU 기업용 사무용 게이밍컴퓨터,"품목 : 데스크탑형태 : 큐브형CPU제조사 : 인텔CPU : 코어i5-14400         
무선 키보드 마우스 세트 증정/퀵 서비스 지원"
116,"1,699,000원",AI 신모델 27인치 울트라5 RAM 32GB SSD 1TB 4K 삼성 올인원 프로 일체형 PC 업무용 컴퓨터 가정용 사무용 데스크탑 본체,"CPU제조사 : 인텔CPU : Ultra5-125H, CPU종류 : 코어 울트라5램용량 : 32GB
SD카드 512GB 증정/ 2024 런칭 27인치 4K"
117,"최저1,249,000원",삼성전자 삼성 DM500TFA-A78A,"품목 : 데스크탑CPU제조사 : 인텔, CPU종류 : 코어i7 13세대램용량 : 8GB, SSD용량 : 512GB속도(기본클럭) : 2.1GHz터보부스트 : 5.1GHz, 운영체제 : 윈도우11 홈"
118,"최저1,135,000원",LG전자 27V70Q-GR50K,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-1240P, CPU종류 : 코어i5 12세대코어종류 : 4+8코어램용량 : 8GB, SSD용량 : 256GB       "
119,"1,670,000원",RTX 4070 SUPER 라이젠 7500F 게이밍 컴퓨터 게임용 멀티 작업 PC 배그 견적,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-7500F, 메인보드 : (AMD) A620M, 칩셋램용량 : 16GB, 램규격 : DDR5, SSD용량 : 256GB "
120,"878,000원",램32G 4K 영상편집 컴퓨터 고사양 게이밍 동영상 프리미어 방송용 영상편집용 조립PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400, 메인보드 : (인텔)B760M, 칩셋램용량 : 32GB속도(기본클럭) : 2.5GHz터보부스트 : 4.4GHz     "
121,"1,589,600원","잘만 P30 화이트 감성 PC / RTX 4060Ti, 4060","종류 : 조립형PC, 품목 : 데스크탑"
122,"최저499,000원",한성컴퓨터 MX4A500,"품목 : 데스크탑CPU제조사 : AMDCPU : 라이젠5-5600G, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB, SSD용량 : 500GB "
123,"최저688,000원",삼성전자 삼성 DM500SEA-A24A,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : G7400, CPU종류 : 펜티엄 골드코어종류 : 2코어, 메인보드 : (인텔)H670, 칩셋램용량 : 4GB     "
124,"1,349,000원",HP 빅터스 고사양 게임용 PC 사무용 컴퓨터 게이밍 데스크탑 본체 4060Ti,"CPU제조사 : 인텔CPU : 코어i5-13400F, CPU종류 : 코어i5 13세대속도(기본클럭) : 2.5GHz코드명 : 랩터레이크"
125,"396,100원",해외BEELINK SER7 7840HS 베어본 미니PC 라이젠7 OS SSD미포함 그린,"종류 : 베어본PCCPU제조사 : AMD, CPU종류 : 라이젠 7속도(기본클럭) : 3.8GHz색상 : 블랙 그린 그레이 오렌지품목 : 미니PC"
126,"최저779,980원",영웅 875 게이밍울트라560X,"종류 : 베어본PCCPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600X, , 그래픽 : 지포스 RTX3060, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB  "
127,"최저1,259,000원",프리플로우 ULTRA GAMING i5 D6 M 12th,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스 RTX3060 Ti, 메인보드 : (인텔)B660, 칩셋램용량 : 16GB"
128,"768,000원",ASRock DeskMini X600 AMD 8700G Wi-Fi 6E 라이젠7-5세대 디앤디컴 미니PC 사무용 기업용 산업용,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-8700G, 램규격 : DDR5랜 : 유선랜 1Gbps(듀얼랜) 무선랜(WIFI) 무선랜ax단자 : 안테나(2개)"
129,"299,000원",삼성 블랙에디션 컴퓨터 본체 SSD HDD 듀얼하드 장착 윈도우10 사무용01 G3900,CPU제조사 : 인텔
130,"최저1,349,000원",삼성전자 삼성 DM500TEA-A78A,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-12700, CPU종류 : 코어i7 12세대코어종류 : 8+4코어, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB      "
131,"540,000원",게이밍 컴퓨터 조립PC i5 9400F RTX2060 디아블로4 배틀그라운드 발로란트 본체,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 9세대, CPU : 코어i5-9400, , 그래픽 : 지포스RTX2060, 메인보드 : (인텔) H310, 칩셋램용량 : 16GB, 램규격 : DDR4 "
132,"최저365,400원",주연테크 굿워크 D2v56G,"품목 : 데스크탑형태 : 타워형특징 : 사무용CPU제조사 : AMDCPU : 라이젠5-5600G, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) A320, 칩셋램용량 : 8GB      "
133,"최저1,099,000원",삼성전자 삼성 DM530ADA-L58A,"품목 : 데스크탑형태 : 일체형PCCPU제조사 : 인텔CPU : 코어i5-1135G7, CPU종류 : 코어i5 11세대램용량 : 8GB, SSD용량 : 256GB속도(기본클럭) : 2.4GHz    "
134,"232,000원",인텔 ASUS NUC 11 Essential Kit NUC11ATKC2 사무용 가정용 산업용 미니PC,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 셀러론, , 그래픽 : UHD , , 그래픽스, 램규격 : LPDDR4, , 그래픽 메모리 : 시스템 메모리 공유랜 : 유선랜 1Gbps 무선랜       "
135,"359,000원",일체형PC 디클 올인원 PC A238N N100+오피스365 쿼드코어 24형 컴퓨터 베사홀 FHD Win11,"형태 : 일체형PCCPU제조사 : 인텔, CPU종류 : 셀러론램용량 : 4GB, SSD용량 : 128GB
램 8GB로 무료 업그레이드"
136,"959,000원",프리플로우 ULTRA GAMING R5 PRO,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600X, , 그래픽 : 지포스 RTX3060, 메인보드 : (AMD)B550, 칩셋램용량 : 16GB "
137,"최저1,279,000원",한성컴퓨터 TFG AX3A606i,"품목 : 데스크탑형태 : 타워형특징 : 게이밍(게임용)CPU제조사 : AMDCPU : 라이젠5-7600, CPU종류 : 라이젠 5코어종류 : 6코어, 메인보드 : (AMD) B650, 칩셋램용량 : 16GB   "
138,"559,000원",게이밍 컴퓨터 롤 배그 팰월드 발로란트 조립식 조립PC 세트 풀세트 데스크탑 견적 01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, , 그래픽 : 지포스 RTX3060, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB           "
139,"최저420,230원",포유컴퓨터 포유컴 i5 12400F + 외장형 GT1030,"종류 : 베어본PCCPU제조사 : 인텔, CPU종류 : 코어i5 12세대, CPU : 코어i5-12400F, , 그래픽 : 지포스GT1030, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB속도(기본클럭) : 2.5GHz"
140,"최저879,000원",삼성전자 삼성 DM530ADA-L38A,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i3-1115G4, CPU종류 : 코어i3 11세대코어종류 : 2코어램용량 : 8GB, SSD용량 : 256GB    "
141,"최저2,399,000원",HP OMEN 25L GT15-1000KR,"품목 : 데스크탑특징 : 게이밍(게임용)CPU제조사 : 인텔CPU : 코어i7-13700F, CPU종류 : 코어i7 13세대코어종류 : 8+8코어, 메인보드 : (인텔)H770, 칩셋램용량 : 16GB   "
142,"685,000원",영상편집 컴퓨터 유튜브 동영상 4k 프리미어프로 조립 데스크탑 영상편집용 PC 본체 01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, , 그래픽 : 지포스GTX1650, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB, 램규격 : DDR4"
143,"250,000원",APPLE 맥 일체형 PC A1312 QHD 27인치 고해상도 2560X1440SSD256 RAM 8G,"CPU제조사 : 인텔, CPU종류 : 코어i3 1세대속도(기본클럭) : 2.0GHz"
144,"최저1,589,800원",HP 파빌리온 27-ca2003kr,"형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔, CPU종류 : 코어i5 13세대코어종류 : 6+8코어램용량 : 8GB, SSD용량 : 512GB, , 그래픽 : 지포스 RTX3050 "
145,"2,398,000원",포유컴 라이젠7 7800X3D RTX4070SUPER 게이밍컴퓨터 화이트감성 조립PC,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-7800X3D, , 그래픽 : 지포스 RTX4070 SUPER, 메인보드 : (AMD) B650, 칩셋램용량 : 32GB"
146,"509,000원",게이밍 컴퓨터 조립PC 인텔 i5 6500 GTX1060 디아블로 마이컴 컴퓨터본체,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 6세대, CPU : 코어i5-6500램용량 : 8GB속도(기본클럭) : 3.2GHz, 램규격 : DDR4코드명 : 스카이레이크(6세대)"
147,"528,000원",산업용 미니PC 아이믹 인텔 i3-8145u,품목 : 미니PC
148,"319,000원",산업용 미니PC 아이믹 인텔 J1900,품목 : 미니PC
149,"698,000원",조립컴퓨터 게이밍PC 갓성비 끝판왕 AMD 3700X RTX 2060 배그풀옵 마이컴,"CPU제조사 : AMD, CPU종류 : 라이젠 7 PROCPU : 라이젠7-3700X속도(기본클럭) : 3.7GHz코드명 : 마티스(라이젠3세대)"
150,"649,000원",조립PC 게이밍 컴퓨터 i5 7500 GTX1660 사무용 게임용 본체 마이컴,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 7세대, CPU : 코어i5-7500, , 그래픽 : 지포스GTX1660Super, 메인보드 : (인텔) H110, 칩셋램용량 : 16GB "
151,"849,000원",일체형PC 27인치 i7-1185G7 올인원PC 윈도우11 16GB 512GB 웹캠포함,"품목 : 데스크탑형태 : 일체형PC특징 : 사무용CPU제조사 : 인텔CPU : 코어i7-1165G7, CPU종류 : 코어i7 11세대코어종류 : 4코어램용량 : 16GB, SSD용량 : 512GB    "
152,"208,000원",게이밍 컴퓨터 조립PC 3D게임용 나이트크로우 사무용 게임용 주식용 컴본체 사무용01,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 6세대, CPU : 코어i3-6100, 메인보드 : (인텔) H110칩셋속도(기본클럭) : 3.7GHz코드명 : 스카이레이크(6세대)"
153,"최저519,000원",HP 24-cr0008kr,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔코어종류 : 4코어램용량 : 4GB, SSD용량 : 128GB부스트클럭 : 3.4GHz, , 그래픽 : UHD , , 그래픽스      "
154,"389,000원",애즈락 DeskMini X300 AMD 5600G 120W 미니PC 사무용 가정용 산업용,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5, 램규격 : DDR4랜 : 유선랜 1Gbps, 운영체제 : 윈도우11 프로 윈도우11 홈, 운영체제 bit : 64bit부가기능 : VESA마운트"
155,"최저327,580원",프리플로우 ELITE 홈오피스 I3 12100,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100, , 그래픽 : 인텔UHD730, 메인보드 : (인텔)H610, 칩셋램용량 : 8GB속도(기본클럭) : 3.3GHz"
156,"최저539,000원",한성컴퓨터 프리워커 F2500W,"품목 : 데스크탑특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-10400, CPU종류 : 코어i5 10세대코어종류 : 6코어, 메인보드 : (인텔)H510, 칩셋램용량 : 8GB   "
157,"1,487,000원",대학생 직장용 포토샵 일러스트 스케치업 허수아비 컴퓨터 14600K HS02,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 14세대, CPU : 코어i5-14600K, , 그래픽 : 지포스 RTX3050, 메인보드 : (인텔)B760램용량 : 32GB, 램규격 : DDR5  "
158,"1,278,000원",아싸컴 팰월드 PC 인텔 13400F/RTX4060 조립 컴퓨터 본체 게이밍 데스크탑,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i5 13세대, CPU : 코어i5-13400F
포토리뷰 리워드 4000원 지급"
159,"1,599,000원",HP 일체형PC 27인치 13세대 i5 RTX3050 QHD 파빌리온 올인원PC 컴퓨터,"품목 : 데스크탑형태 : 일체형PC특징 : 게이밍(게임용)CPU제조사 : 인텔, CPU종류 : 코어i5 13세대코어종류 : 6+4코어램용량 : 8GB, SSD용량 : 512GB       "
160,"최저631,150원",레노버 아이디어센터 Mini 01IRH8-90W20048KA,"품목 : 미니PC형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-13420H, CPU종류 : 코어i5 13세대코어종류 : 8코어램용량 : 16GB, SSD용량 : 256GB     "
161,"767,000원",신품 조립 고사양 게임용 데스크탑 게이밍 PC 롤 배그 게임용 컴퓨터 본체 00,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, SSD용량 : 500GBSSD 인터페이스 : M.2파워 : 500WODD : 옵션(선택사양)         "
162,"최저678,000원",포유컴퓨터 포유컴 라이젠5 5600 + 외장형 GTX1660SUPER,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 5CPU : 라이젠5-5600, , 그래픽 : 지포스GTX1660Super, 메인보드 : (AMD)A520M, 칩셋램용량 : 16GB"
163,"55,000원",[대여]조립게이밍 i7-9세대 RTX3060 개인 법인 게이밍컴퓨터 데스크탑 렌탈 15일,"종류 : 조립형PC, CPU제조사 : 인텔CPU : 코어i7-9700, , 그래픽 : 지포스 RTX3060램용량 : 32GB, 램규격 : DDR4, SSD용량 : 512GB, 운영체제 : 윈도우10품목 : 데스크탑"
164,"449,000원",포토샵 컴퓨터 일러스트 디자인 디자이너 오토캐드 스케치업 캐드용 설계용 포토샵용 PC 1,"종류 : 조립형PC, CPU제조사 : 인텔, CPU종류 : 코어i3 12세대, CPU : 코어i3-12100F속도(기본클럭) : 4.3GHz형태 : 슬림형케이스분류 : 미들타워품목 : 데스크탑"
165,"2,669,000원",초고사양 AMD 7800X3D 4070 ti SUPER 게임작업용 허수아비컴퓨터 HS3,"종류 : 조립형PC, CPU제조사 : AMD, CPU종류 : 라이젠 7CPU : 라이젠7-7800X3D, , 그래픽 : 지포스GTX1650, 메인보드 : (인텔)H610, 칩셋램용량 : 16GB  "
166,"최저969,000원",삼성전자 삼성 DM500SGA-A58A,"품목 : 데스크탑형태 : 슬림형특징 : 사무용CPU제조사 : 인텔CPU : 코어i5-14400, CPU종류 : 코어i5 14세대, 메인보드 : (인텔)H670, 칩셋램용량 : 8GB, SSD용량 : 256GB     "
167,"최저759,000원",삼성전자 삼성 DM500SDZ-AD5A,"품목 : 데스크탑CPU제조사 : 인텔CPU : 코어i5-11400, CPU종류 : 코어i5 11세대코어종류 : 6코어, 메인보드 : (인텔) H470, 칩셋램용량 : 8GB, SSD용량 : 256GB      "
