회사명,직무명,링크
㈜모드파티,"[프리,재택] 데이터분석가를 찾습니다 -[모임플랫폼 모드파티]",https://www.jobkorea.co.kr/Recruit/GI_Read/45526502?rPageCode=SL&logpath=21&sn=6
㈜아파트아이,데이터베이스 관리자,https://www.jobkorea.co.kr/Recruit/GI_Read/45525060?rPageCode=SL&logpath=21&sn=6
㈜위즈베이스,기흥(수원) 상주운영 경력 초급 DBA 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45526121?rPageCode=SL&logpath=21&sn=6
㈜한국정보공작소,DBA를 모십니다. (SI 담당),https://www.jobkorea.co.kr/Recruit/GI_Read/45525740?rPageCode=SL&logpath=21&sn=6
㈜한국정보공작소,[기업부설연구소] AI 기반 비전시스템 개발 정규직 전문연구원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45525722?rPageCode=SL&logpath=21&sn=6
㈜한국정보공작소,연구소장님을 모십니다. (AI 비전시스템 개발 총괄 및 개발),https://www.jobkorea.co.kr/Recruit/GI_Read/45525695?rPageCode=SL&logpath=21&sn=6
모두의연구소,교육 운영 매니저 (퍼실리테이터),https://www.jobkorea.co.kr/Recruit/GI_Read/45525634?rPageCode=SL&logpath=21&sn=6
㈜닷넷소프트,"Exchange Server 운영자, 메일시스템 운영자, Office 365 시스템 운영자 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45525567?rPageCode=SL&logpath=21&sn=6
㈜Ant 솔루션,[분당] MS Azure 서비스전환 및 시스템 구축 가능한 TA경력자(정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/45525426?rPageCode=SL&logpath=21&sn=6
"COMSENS Co.,Ltd",[일본 도쿄]COMSENS 개발자 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45525269?rPageCode=SL&logpath=21&sn=6
현대엘리베이터,[현대그룹] 2024 하반기 신입 매니저 채용 - 노무,https://www.jobkorea.co.kr/Recruit/GI_Read/45525261?rPageCode=SL&logpath=21&sn=6
현대엘리베이터,[현대그룹] 2024 하반기 신입 매니저 채용 - 컴플라이언스,https://www.jobkorea.co.kr/Recruit/GI_Read/45525250?rPageCode=SL&logpath=21&sn=6
이앤에스글로벌,2024년 9월 경력직 채용 - 시스템 운영,https://www.jobkorea.co.kr/Recruit/GI_Read/45525248?rPageCode=SL&logpath=21&sn=6
